DrugBankID	GeneName
P0A7S3	rpsL
P61073	CXCR4
P00811	ampC
O95259	KCNH1
P14770	GP9
P21554	CNR1
P34972	CNR2
Q9Y271	CYSLTR1
P61024	CKS1B
P0DP23	CALM1
P21430	M
Q96SW2	CRBN
O14788	TNFSF11
P33151	CDH5
P50453	SERPINB9
P04155	TFF1
O15530	PDPK1
Q2M3G0	ABCB5
Q9UNQ0	ABCG2
A0A0E1R3H3	pbpC
Q06AK7	topA
Q14697	GANAB
Q8TET4	GANC
Q4U2R8	SLC22A6
Q8TCC7	SLC22A8
Q9NSA0	SLC22A11
Q9Y694	SLC22A7
O14746	TERT
Q99705	MCHR1
P94692	por
P08519	LPA
Q5T1J1	SIGMAR1
O00264	PGRMC1
P04839	CYBB
P13498	CYBA
P14598	NCF1
P19878	NCF2
Q15080	NCF4
P63000	RAC1
P15153	RAC2
P29372	MPG
P02787	TF
O00244	ATOX1
Q71U36	TUBA1A
P68371	TUBB4B
P83223	SO_0970
P17936	IGFBP3
Q15238	PSG5
Q6V0L0	CYP26C1
Q92206	ERG1
P15502	ELN
P08149	penA
Q60FT7	pbp3
P0A6E4	argG
P78352	DLG4
P53608	rocF
P0AES4	gyrA
P0C1U9	parC
Q59192	parE
P05653	gyrA
C3T8E2	mdtK
P20831	gyrA
P08909	Htr2c
P68366	TUBA4A
P66010	trxB
P51857	AKR1D1
P00582	polA
P18314	ureC
P39900	MMP12
P00813	ADA
Q15878	CACNA1E
P06818	NA
P27907	NA
P25101	EDNRA
P24530	EDNRB
P0A7S9	rpsM
P0AG59	rpsN
P0A7U3	rpsS
O14649	KCNK3
Q9NPC2	KCNK9
Q16790	CA9
O43570	CA12
Q9UJT1	TUBD1
P23258	TUBG1
Q9UJT0	TUBE1
P05412	JUN
P06864	ebgA
Q9H015	SLC22A4
O76082	SLC22A5
P43155	CRAT
Q8N8R3	SLC25A29
O43772	SLC25A20
Q9UKG9	CROT
P23786	CPT2
P50416	CPT1A
P78348	ASIC1
P47712	PLA2G4A
P19801	AOC1
Q16515	ASIC2
P19634	SLC9A1
Q13639	HTR4
P27361	MAPK3
O60218	AKR1B10
P54710	FXYD2
Q6FHJ7	SFRP4
Q9NR96	TLR9
Q8MU52	GST
P9WGR1	inhA
P9WIE5	katG
P50135	HNMT
P0A7Z4	rpoA
P0A8V2	rpoB
P0A8T7	rpoC
P07900	HSP90AA1
P14625	HSP90B1
P08473	MME
A9UF02	BCR/ABL
O43519	RET
P07333	CSF1R
Q08345	DDR1
P49019	HCAR3
Q8TDS4	HCAR2
Q15274	QPRT
P40261	NNMT
P29074	PTPN4
Q13332	PTPRS
P23469	PTPRE
P38606	ATP6V1A
P03200	BLLF1
P68344	BLLF1
P0C002	sulI
P53848	FOL1
Q9F0I5	cft
P0DMS8	ADORA3
P05107	ITGB2
P22102	GART
Q96P88	GNRHR2
P15538	CYP11B1
P10109	FDX1
P41594	GRM5
P00441	SOD1
P25103	TACR1
P02708	CHRNA1
P11230	CHRNB1
